"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8188.53509756163","7820.85259393775","7586.19765922208","7506.80701705037","7609.18259348506","7808.72272209154","7940.51592892102","7870.76514707747","7859.0531089125","7891.47156918312","7938.16767329449","8001.73376337989","8016.5402381836","8207.86072462351","8455.89479617678","8779.50346781978","9122.73492748366","9285.15001149628","9135.37249607884","9487.9458687783","9551.84535270594","9502.89011691882","9602.94382367492","9727.09131756395","9733.13181178373","9707.7075599333","9693.52491606904","9697.43659213557","9647.29973894078","9283.09646609548","9374.80711791568","9366.50345240194",
"Afghanistan","AFG","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5947.55202712579","5992.56294828307","5825.20616583279","6207.3597406719","6229.88785528885","7040.15723583632","7197.85594137487","8347.2752867439","9213.9061161472","8778.62506773838","9349.20176478524","9413.67845026612","9195.14833109487","9061.37926703989","9081.35214813275","9089.06383061441","8846.77311157899","8842.50459514406","9541.77095707522","","",
"","AFW","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7961.25644172876","7942.34838328239","7649.02801295738","7440.83183487736","7393.90982070287","7530.18873383453","7646.17764120468","7703.45607230962","7635.33673914345","7702.88944904814","7878.54040338958","8372.10610249998","8590.26735485704","9008.65933975226","9276.11193970263","9505.79652911695","9756.21081474519","10116.0116457413","10471.5705323018","10918.4009395941","11163.2293867334","11696.425497065","12320.6423504839","12718.6217325507","12712.3729671233","12323.5889823389","12282.3594131185","12236.5389796623","12236.6317069693","12004.870651452","12082.7641634537","12072.7150356148",
"Angola","AGO","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14363.5876401866","13114.9260435539","9678.9081126202","9499.18773656594","10563.3812061503","11584.246877711","11998.7382283679","12129.7208788108","11974.6742403328","11917.5993968472","11982.2366814767","13133.1640091683","13044.6508989676","13938.5716530181","15442.7087685532","16590.679915738","18212.474804339","19502.597279055","18955.4787829175","20255.2793956556","19719.201451777","20769.1241784448","21179.2992894069","21579.1091425462","21012.4001150361","19738.2067966511","18989.5667715647","18075.8055628447","17313.6466253781","16083.6436481604","15729.6150634561","15561.5305292093",
"Albanie","ALB","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8906.14962183619","10531.1786112405","10992.9718817582","11416.1879442862","12246.1238093745","13449.7933559818","12249.0740636247","14020.7776458289","16218.2620887186","17063.7977132442","18554.8079709207","19185.9748223843","20231.119794542","21399.1595133045","22751.5206417938","24314.6227464715","26261.1430680426","27721.8892160794","27781.9733846269","28685.4603588862","26723.3654065288","28295.1916722214","31839.0493540849","32519.7647443325","31582.6764831032","30847.0041247047","30844.9075683552","30882.5912650745","30717.2707662754","32168.7371795121","33941.2319633903","35311.488406709",
"Andorre","AND","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40504.2631406723","41112.9951804119","40933.8754174438","40603.3332396009","40801.4716316989","41063.4390216106","41455.2451072078","42452.6586264348","41670.1314344803","43435.0564997194","43273.3484835043","42808.3595000704","43416.1658062351","45088.1979247034","45880.8967695671","46376.2562783006","46332.1755008909","47180.8278811691","45668.8360526287","46033.2553235444","47140.2281304952","48862.0569127619","48838.2156513122","49354.4327006162","50452.0474776814","51125.4059113233","51706.8112432975","52096.6736012308","51598.0984735073","50056.9477013312","50766.9796555791","52040.8472564121",
"Émirats arabes unis","ARE","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198450.376473756","191596.879003445","181411.893526654","182193.246424302","183060.236892108","181888.810125122","184251.834984362","172755.106192541","165935.567236206","171697.330403366","163014.099794486","156456.069658894","159712.570883129","164582.002429546","159105.898351998","150439.167154401","127465.201817656","108622.092174747","88479.8201190248","83616.4509100453","87735.73874955","90318.669786209","93248.8500900514","95522.8069033203","100379.700457689","104333.903335749","104570.718032903","104446.186813466","104484.833121014","101151.330210884","104304.055189691","109637.864599818",
"Argentine","ARG","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38442.3401850243","40686.2665633347","44520.9087089766","46813.6478012359","49002.1395007385","49463.1191627602","50617.892119279","50265.8155944813","49058.89220394","48693.5533973552","47690.1191272904","44154.95394603","44392.9286811418","46061.0903605963","48662.6131243053","50782.6870841149","54241.1778296412","55924.341346986","52043.8643056322","56943.432764564","58705.4135975736","57598.9014366423","58507.6343872866","56885.1795777604","58051.3488061161","56689.7500421703","57915.6255284952","55460.3855167411","53385.378273041","51985.9368502855","50989.4267377039","51803.7891812289",
"Arménie","ARM","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9994.15879268194","5939.67424276351","5862.19653200189","6458.73068094809","7032.91543607875","7706.15660660583","8143.40397075445","8641.15212320228","9138.00733763661","9695.08872047806","10650.5130002859","12081.0007484559","13771.1322469263","15174.9624960553","17239.8560869519","19420.1799799533","21951.2745998837","23516.4988815487","19886.5827218009","20460.2179895146","21578.6756011029","23360.9904452656","24297.6686360133","25394.8475849532","26442.9528032207","26715.9558972293","29126.6691829259","30995.065971077","32593.0706500231","30798.3607807599","32729.4795876317","36792.8075304529",
"Samoa américaines","ASM","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68406.9420500867","69036.428277848","71690.8583934876","72245.0306912553","72399.1482298346","74206.1073291417","76484.7323554907","78625.1259473862","81061.3053455665","82072.0663791138","82687.1573956385","84387.2721420846","85085.0617639954","87188.5998727864","87012.2919098941","87290.5445061173","87845.1591548055","88478.9896086742","89466.3671024613","89623.7308455793","90239.5481273703","92616.8497867836","94111.4959294903","95872.0434998119","96046.2563685696","96970.5261698895","96938.3972750907","97173.2428385081","97080.2715986766","98380.6360053196","97599.2145180458","97449.946804096",
"Autriche","AUT","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86381.778310559","86346.3370219259","86628.9894661738","84244.5160774122","86537.8266122655","90145.1805715951","92277.3346061395","94946.5492182614","96880.2781987882","100162.812273697","100814.421950581","101422.696826357","101204.773294843","107670.054404617","106412.60377714","107817.36156074","109092.668676509","108753.931479394","104916.002283575","105875.87353728","107924.383973169","107838.280341408","107334.956873176","107837.943582434","107781.139236478","108284.517029424","109433.270010737","110508.987226577","111276.362719965","105604.662890952","110168.900484375","111862.344619555",
"Azerbaïdjan","AZE","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16080.5274122678","12064.6320116662","9121.46766182545","7151.32657227882","6159.27420256767","6191.80216659243","6534.50001644225","7184.25475183177","7689.74118605574","8546.35840208921","9371.86561550531","10232.5861246571","11234.569719637","12312.0607774227","15624.7103053895","20982.5977152442","26773.1783415783","29169.232435062","31073.6261940411","32202.2662127497","31564.0093836303","31549.8655441652","32786.0643477551","32901.2209416485","32592.7350053786","30731.3629526461","30241.505535709","30165.0516854144","30645.710966048","28890.5530224779","30264.2179834632","31379.604773163",
