Année,Croissance du PIB (%),"Inflation, prix à la consommation (% annuel)",Taux d’achèvement de l’école primaire (%),Taux d’achèvement (Garcon) de l’école primaire (%),Taux d’achèvement (Fille) de l’école primaire (%),Taux de redoublement
1971,3.92936503078364,5.38588149243493,27.0122509002686,30.5975608825684,23.4494705200195,28.99367
1972,-1.27262153096891,5.62255965277481,29.6399002075195,33.7019309997559,25.6015396118164,28.64517
1973,-2.61847832966285,6.12010186464779,29.2163696289063,31.8034706115723,26.6430702209473,31.22779
1975,1.25869163453154,8.19121283215932,31.7435302734375,34.2416496276855,29.2563991546631,24.37774
1988,3.40692921036734,26.8537971413812,37.5362014770508,35.6478881835938,39.435359954834,33.23807
1989,4.07488065683054,9.01299594555497,35.4057502746582,34.5284996032715,36.2894706726074,34.57711
1990,3.12890505042525,11.7844838321357,35.0627098083496,34.3494682312012,35.7815589904785,34.67317
1991,-6.3063515914491,8.5926476049019,33.7905006408691,32.9802017211914,34.6066207885742,35.69775
1992,1.1808849422964,14.5123786075772,31.0087509155273,30.963809967041,31.0539894104004,33.57609
1993,2.09992318708629,10.008361204014,31.9089202880859,31.5312995910645,32.2888107299805,32.78886
1994,-0.0421013007036493,38.941790898924,29.1463394165039,28.3587303161621,29.9381999969482,32.37671
1995,1.67859231731708,49.0802100590784,28.9120292663574,29.2248401641846,28.5977001190186,31.77613
1996,2.15420447648967,19.7563545439776,29.4962005615234,28.7959594726563,30.1994094848633,33.80005
1998,3.91707459882808,6.20801608663323,30.2236194610596,30.0704193115234,30.3771896362305,32.57934
1999,4.69922704382388,9.92953399348779,33.5179481506348,33.1675491333008,33.8689002990723,29.9129
2000,4.45685893778607,11.859684500028,36.7057418823242,36.5481491088867,36.8634414672852,27.9367
2001,5.98023576424708,7.91694484529585,36.1973190307617,35.6992416381836,36.6952209472656,30.11146
2002,-12.4079711022759,16.4985255315846,36.2574195861816,35.8831214904785,36.6312789916992,30.47772
2003,9.78489212136444,-1.70400479616301,40.0912208557129,39.7209815979004,40.4608306884766,29.31724
2004,5.2570036214801,13.9558018033212,45.9776496887207,45.3596611022949,46.5943489074707,29.96412
2005,4.75584509662626,18.3638246468932,58.2887802124023,58.4400291442871,58.1378593444824,18.27496
2006,5.39850845004474,10.7656371554866,57.0794792175293,57.2930183410645,56.8664016723633,19.72824
2007,5.71056419690301,10.2879663187671,61.223258972168,61.5515403747559,60.895580291748,19.14061
2008,6.71263254242815,9.29650839381059,67.4319534301758,67.529052734375,67.3349761962891,19.65773
2009,-3.97870861280433,8.95421802392944,73.9452819824219,73.7288513183594,74.1615829467773,20.44623
2010,0.619239745847793,9.24732173644115,70.3752136230469,69.7124633789063,71.0382995605469,19.91312
2011,1.57842705122724,9.48254048582997,70.6973266601563,69.7623291015625,71.6342010498047,19.43031
2012,3.01114811507057,5.71384434191049,69.1286315917969,67.8018035888672,70.4601593017578,20.51708
2013,2.30037623213595,5.82642944451989,67.9618911743164,66.2507629394531,69.6818771362305,22.07021
2014,3.33920311305025,6.08040811088296,68.1986999511719,66.2327270507813,70.1780471801758,20.92739
2015,3.13229807263869,7.40419174202125,68.6542129516602,66.5875091552734,70.7379302978516,20.97355
2016,3.99314606412389,6.03575858154682,67.5784301757813,65.4186019897461,69.7585601806641,21.35468
2018,3.19435651491895,8.59422958870474,65.4687728881836,62.8898391723633,68.0784912109375,26.0745
